Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
TLR2_BISBI	TLR2_BISBI	784	Query	-	542	9.3e-114	385.3	30.5	1	1	1.1e-117	1.1e-113	385.087249755859	30.53	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_BOVIN	TLR2_BOVIN	784	Query	-	542	2.5e-113	383.9	29.2	1	1	3.0e-117	3.0e-113	383.643920898438	29.23	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_BUBBU	TLR2_BUBBU	784	Query	-	542	1.6e-112	381.2	30.0	1	1	1.9e-116	2.0e-112	380.961975097656	29.99	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_BOSTR	TLR2_BOSTR	784	Query	-	542	3.2e-111	377.0	28.4	1	1	3.8e-115	3.8e-111	376.707092285156	28.44	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR2_GIRCA	TLR2_GIRCA	784	Query	-	542	2.0e-110	374.3	29.0	1	1	2.4e-114	2.5e-110	374.0390625	29.01	1	541	1	541	1	542	1.00	Toll-like receptor 2		0
TLR6_HUMAN	TLR6_HUMAN	796	Query	-	542	1.6e-104	354.8	32.0	1	1	2.0e-108	2.1e-104	354.484069824219	31.99	1	541	1	546	1	547	0.99	Toll-like receptor 6	4om7_B	0
IRL1A_DANRE	IRL1A_DANRE	701	Query	-	542	4.5e-103	350.1	2.2	1	1	5.7e-107	5.8e-103	349.718292236328	2.20	1	541	1	541	1	545	0.94	Interleukin-1 receptor accessory protein-like 1-A		0
ILRL2_HUMAN	ILRL2_HUMAN	575	Query	-	542	8.6e-103	349.2	6.1	1	1	9.5e-107	9.7e-103	348.982269287109	6.11	1	541	1	541	1	542	1.00	Interleukin-1 receptor-like 2		0
TLR6_DASNO	TLR6_DASNO	789	Query	-	542	3.2e-102	347.3	38.0	1	1	4.4e-106	4.5e-102	346.778778076172	37.96	1	533	1	533	1	540	0.99	Toll-like receptor 6		0
IL1R1_HUMAN	IL1R1_HUMAN	569	Query	-	542	1.9e-100	341.4	10.7	1	1	2.1e-104	2.1e-100	341.268951416016	10.72	1	539	1	539	1	542	0.95	Interleukin-1 receptor type 1	4dep_B	0
ILRL1_HUMAN	ILRL1_HUMAN	556	Query	-	542	5.4e-99	336.6	0.6	1	1	5.9e-103	6.0e-99	336.467681884766	0.58	1	542	1	542	1	542	1.00	Interleukin-1 receptor-like 1	4kc3_B	0
I18RA_MOUSE	I18RA_MOUSE	614	Query	-	542	3.3e-98	334.0	4.4	1	1	4.1e-102	4.1e-98	333.705535888672	4.43	1	538	1	538	1	541	1.00	Interleukin-18 receptor accessory protein		0
I18RA_HUMAN	I18RA_HUMAN	599	Query	-	542	3.8e-98	333.8	9.7	1	1	4.3e-102	4.4e-98	333.6357421875	9.66	1	541	1	541	1	542	1.00	Interleukin-18 receptor accessory protein	3wo4_C	0
IL18R_MOUSE	IL18R_MOUSE	537	Query	-	542	1.6e-94	321.9	10.8	1	1	1.7e-98	1.8e-94	321.728088378906	10.78	1	534	1	534	1	537	1.00	Interleukin-18 receptor 1		0
IL18R_HUMAN	IL18R_HUMAN	541	Query	-	542	3.7e-93	317.4	20.7	1	1	4.0e-97	4.1e-93	317.234527587891	20.68	1	535	1	535	1	541	0.99	Interleukin-18 receptor 1	3wo3_H	0
TLR1_MOUSE	TLR1_MOUSE	795	Query	-	542	4.7e-85	290.6	30.7	1	1	5.5e-89	5.6e-85	290.375610351562	30.73	1	540	1	540	1	542	1.00	Toll-like receptor 1		0
TLR1_HUMAN	TLR1_HUMAN	786	Query	-	542	8.2e-85	289.8	35.4	1	1	1.3e-88	1.3e-84	289.175567626953	35.40	1	541	1	541	1	542	1.00	Toll-like receptor 1	2z7x_B	0
TOLL6_DROME	TOLL6_DROME	1514	Query	-	542	6.9e-83	283.5	3.4	1	1	9.8e-87	1.0e-82	282.958618164062	3.40	1	541	1	541	1	542	1.00	Toll-like receptor 6		0
TLR2_CANLF	TLR2_CANLF	785	Query	-	542	3.4e-75	258.1	29.4	1	1	4.4e-79	4.5e-75	257.707336425781	29.42	1	540	1	540	1	543	0.96	Toll-like receptor 2		0
TLR6_BOVIN	TLR6_BOVIN	793	Query	-	542	4.9e-61	211.4	34.3	1	1	6.0e-65	6.1e-61	211.080993652344	34.29	24	540	24	542	11	544	0.94	Toll-like receptor 6		0
TLR2_HORSE	TLR2_HORSE	784	Query	-	542	3.9e-57	198.5	27.1	1	1	4.7e-61	4.8e-57	198.214401245117	27.07	1	541	1	541	1	542	0.97	Toll-like receptor 2		0
TLR6_MOUSE	TLR6_MOUSE	795	Query	-	542	1.4e-54	190.1	22.5	1	1	1.8e-58	1.8e-54	189.707534790039	22.45	9	540	9	542	7	544	0.97	Toll-like receptor 6	3a79_B	0
TLR2_HUMAN	TLR2_HUMAN	784	Query	-	542	3.1e-51	179.0	34.2	1	1	3.7e-55	3.8e-51	178.758056640625	34.19	1	540	1	539	1	542	0.95	Toll-like receptor 2	1fyx_A	0
TLR2_GORGO	TLR2_GORGO	784	Query	-	542	7.5e-51	177.8	34.1	1	1	8.9e-55	9.1e-51	177.516586303711	34.10	1	540	1	539	1	542	0.95	Toll-like receptor 2		0
TLR2_PANTR	TLR2_PANTR	784	Query	-	542	2.8e-50	175.9	34.1	1	1	3.3e-54	3.4e-50	175.623687744141	34.09	1	540	1	539	1	542	0.95	Toll-like receptor 2		0
TLR2_PANPA	TLR2_PANPA	784	Query	-	542	3.9e-50	175.4	34.8	1	1	4.7e-54	4.8e-50	175.135513305664	34.75	1	540	1	539	1	542	0.95	Toll-like receptor 2		0
TLR2_MACFA	TLR2_MACFA	784	Query	-	542	7.1e-47	164.7	33.0	1	1	8.6e-51	8.8e-47	164.368286132812	33.03	1	540	1	539	1	542	0.92	Toll-like receptor 2		0
TLR2_MACMU	TLR2_MACMU	784	Query	-	542	5.8e-46	161.7	34.7	1	1	7.0e-50	7.2e-46	161.353561401367	34.67	1	540	1	539	1	542	0.94	Toll-like receptor 2		0
TLR2_MOUSE	TLR2_MOUSE	784	Query	-	542	7.1e-37	131.7	19.5	1	1	8.4e-41	8.5e-37	131.412460327148	19.55	1	540	1	540	1	542	0.99	Toll-like receptor 2	2z81_A	0
TLR2_CRIGR	TLR2_CRIGR	784	Query	-	542	3.8e-35	126.0	15.4	1	1	4.6e-39	4.7e-35	125.661598205566	15.37	1	540	1	540	1	542	0.93	Toll-like receptor 2		0
TLR22_CHICK	TLR22_CHICK	781	Query	-	542	1.0e-05	28.9	7.7	1	1	2.4e-09	2.4e-05	27.6266822814941	7.68	324	539	321	536	304	539	0.84	Toll-like receptor 2 type-2		0
